index	name	p-value	adj p-value	odds ratio	combined score
1	regulation of apoptotic process (GO:0042981)	1.1536954543308095e-64	5.8873079034501206e-61	1.8954511115383643	279.0530052521251
2	positive regulation of gene expression (GO:0010628)	8.903125971447685e-61	2.271632591614877e-57	1.8927659798102223	261.71519033647223
3	regulation of transcription from RNA polymerase II promoter (GO:0006357)	9.285441957891597e-60	1.5794536770373606e-56	1.6213314965382324	220.3821714889842
4	positive regulation of transcription, DNA-templated (GO:0045893)	2.4904553365523665e-56	3.1771983956066815e-53	1.7014878125989235	217.84539746978362
5	gene expression (GO:0010467)	3.1533481401690182e-55	3.2183071118565e-52	2.1796912848548424	273.5375575972465
6	cellular macromolecule biosynthetic process (GO:0034645)	6.720720930306624e-49	5.715973151225784e-46	2.173626151827787	241.10181696093605
7	rRNA processing (GO:0006364)	2.943737161187136e-48	2.1459843905054223e-45	2.570057575558126	281.2784210067212
8	ncRNA processing (GO:0034470)	3.589753229450661e-48	2.2898138412358404e-45	2.4822442835169216	271.1752614840283
9	ribosome biogenesis (GO:0042254)	9.072063103298842e-48	5.143859779570444e-45	2.479220768306314	268.5464286990561
10	rRNA metabolic process (GO:0016072)	2.0085387411338678e-47	1.0249573196006128e-44	2.5641025641025643	275.7027997628168
