index	name	p-value	adj p-value	odds ratio	combined score
1	RNA binding (GO:0003723)	1.3771279461465885e-153	1.5850742660147234e-150	2.051793287874358	722.181007577404
2	cadherin binding (GO:0045296)	7.892537957342989e-120	4.54215559445089e-117	2.9531729922216257	809.8908405650458
3	protein kinase binding (GO:0019901)	1.5423205567483836e-51	5.917369869391298e-49	2.0336316632612927	237.9319591004644
4	protein kinase activity (GO:0004672)	3.2669815024257683e-42	9.400739273230149e-40	1.9129107281587245	182.73023765681094
5	ubiquitin-like protein ligase binding (GO:0044389)	4.10807549651439e-39	9.456789792976125e-37	2.1636647151050443	191.24170248714836
6	kinase binding (GO:0019900)	1.276225965072945e-38	2.448226809664933e-36	1.9690078169610332	171.80445050094374
7	ubiquitin protein ligase binding (GO:0031625)	2.2643725500870413e-37	3.7232754359288354e-35	2.1623887038597522	182.4587924906022
8	transcription coactivator activity (GO:0003713)	9.689127527512636e-36	1.3940232230208805e-33	2.121250689406474	171.01959815955425
9	protein serine/threonine kinase activity (GO:0004674)	2.0582534404375994e-31	2.632277455492974e-29	1.9268618302434728	136.14874292321335
10	transcription regulatory region DNA binding (GO:0044212)	5.072632712430293e-31	5.838600252007267e-29	1.9128777298711936	133.43523056587406
