index	name	p-value	adj p-value	odds ratio	combined score
1	Pathways in cancer	3.991137479344575e-50	1.229270343638129e-47	1.9829537649244147	225.55142970444584
2	MAPK signaling pathway	9.411581557631911e-38	1.4493835598753145e-35	2.1461415058401876	182.97206801613268
3	Cellular senescence	8.59589650232882e-35	8.825120409057588e-33	2.4928774928774926	195.53929957766306
4	Hepatitis B	3.396964902469259e-34	2.6156629749013296e-32	2.4664169176779946	190.07444640948324
5	Cell cycle	2.0025292045904078e-32	1.233557990027691e-30	2.6294560344739555	191.91955741314376
6	Human T-cell leukemia virus 1 infection	4.633742676388832e-30	2.3786545738796007e-28	2.1826455109052776	147.42501849640024
7	Chronic myeloid leukemia	6.506611632484118e-30	2.8629091182930117e-28	2.957298278935706	198.74444406341306
8	Apoptosis	6.416226372855718e-29	2.4702471535494513e-27	2.435045170087905	158.0737271880907
9	Epstein-Barr virus infection	5.541454023086531e-28	1.896408710122946e-26	2.189117722561614	137.3893033929319
10	Colorectal cancer	5.9289007456297025e-28	1.8261014296539484e-26	2.7974704977288956	175.38054165139712
