geneId,geneSymbol,uniprotAC,proteinName,description,notes
      174,AFP,,,,
      212,ALAS2,,,,
      337,APOA4,,,,
      344,APOC2,,,,
      355,FAS,,,,
      538,ATP7A,,,,
      540,ATP7B,,,,
      578,BAK1,,,,
      595,CCND1,,,,
      596,BCL2,,,,
      598,BCL2L1,,,,
      967,CD63,,,,
      999,CDH1,,,,
     1317,SLC31A1,,,,
     1356,CP,,,,
     1499,CTNNB1,,,,
     1544,CYP1A2,,,,
     1571,CYP2E1,,,,
     2026,ENO2,,,,
     2161,F12,,,,
     2305,FOXM1,,,,
     2705,GJB1,,,,
     2752,GLUL,,,,
     2922,GRP,,,,
     2950,GSTP1,,,,
     3082,HGF,,,,
     3265,HRAS,,,,
     3569,IL6,,,,
     3717,JAK2,,,,
     3791,KDR,,,,
     3845,KRAS,,,,
     4233,MET,,,,
     4240,MFGE8,,,,
     4283,CXCL9,,,,
     4313,MMP2,,,,
     4609,MYC,,,,
     5052,PRDX1,,,,
     5371,PML,,,,
     5471,PPAT,,,,
     5594,MAPK1,,,,
     5595,MAPK3,,,,
     5925,RB1,,,,
     6364,CCL20,,,,
     6659,SOX4,,,,
     6696,SPP1,,,,
     6713,SQLE,,,,
     6774,STAT3,,,,
     7010,TEK,,,,
     7039,TGFA,,,,
     7040,TGFB1,,,,
     7083,TK1,,,,
     7124,TNF,,,,
     7157,TP53,,,,
     8517,IKBKG,,,,
     8651,SOCS1,,,,
     8795,TNFRSF10B,,,,
     8848,TSC22D1,,,,
     9104,RGN,,,,
     9970,NR1I3,,,,
    22800,RRAS2,,,,
    23582,CCNDBP1,,,,
    27113,BBC3,,,,
   219972,MPEG1,,,,
   283120,H19,,,,
   406884,MIRLET7B,,,,
   406886,MIRLET7D,,,,
   406887,MIRLET7E,,,,
   406891,MIRLET7I,,,,
   406902,MIR10A,,,,
   406910,MIR125A,,,,
   406937,MIR145,,,,
   406953,MIR18A,,,,
   406957,MIR181C,,,,
   406959,MIR183,,,,
   406962,MIR186,,,,
   406971,MIR195,,,,
   406984,MIR200B,,,,
   406989,MIR206,,,,
   406994,MIR212,,,,
   407006,MIR221,,,,
   407017,MIR26B,,,,
   407027,MIR301A,,,,
   407029,MIR30A,,,,
   407030,MIR30B,,,,
   407033,MIR30D,,,,
   407034,MIR30E,,,,
   407040,MIR34A,,,,
   407054,MIR98,,,,
   407056,MIR99B,,,,
   442898,MIR324,,,,
   442903,MIR331,,,,
   442904,MIR335,,,,
   442906,MIR338,,,,
   442907,MIR339,,,,
   442908,MIR340,,,,
   442920,MIR196B,,,,
   494332,MIR383,,,,
   554210,MIR429,,,,
   574413,MIR409,,,,
   574457,MIR181D,,,,
   574508,MIR505,,,,
   619552,MIR483,,,,
   664612,MIR539,,,,
   693183,MIR598,,,,
   693235,MIR92B,,,,
   724022,MIR652,,,,
   768213,MIR671,,,,
100126297,MIR300,,,,
100126333,MIR708,,,,
100126348,MIR760,,,,
