interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
A2M	ENO2	P01023	P09104
ABCA1	IKBKG	O95477	Q9Y6K9
ABL1	BCL2L1	P00519	Q07817
ABL1	PRDX1	P00519	Q06830
ABL1	RB1	P00519	P06400
ABL1	TP53	P00519	P04637
ACAA1	PRDX1	P09110	Q06830
ACACA	BCL2	Q13085	P10415
ACACA	PRDX1	Q13085	Q06830
ACAT1	PRDX1	P24752	Q06830
ASIC1	TNFRSF10B	P78348	O14763
ACO2	CTNNB1	Q99798	P35222
ACO2	PRDX1	Q99798	Q06830
ACTA2	GSTP1	P62736	P09211
ACTN4	CTNNB1	O43707	P35222
ACVR1	TSC22D1	Q04771	Q15714
ACVR1B	TSC22D1	P36896	Q15714
ACVRL1	TGFB1	P37023	P01137
ACVRL1	TSC22D1	P37023	Q15714
ADH1B	PML	P00325	P29590
ADH5	PRDX1	P11766	Q06830
ADH6	KRAS	P28332	P01116
PARP1	BCL2	P09874	P10415
PARP1	SPP1	P09874	P10451
PARP1	TP53	P09874	P04637
PARP1	IKBKG	P09874	Q9Y6K9
ADRB2	PRDX1	P07550	Q06830
ADRB2	STAT3	P07550	P40763
ADSL	CTNNB1	P30566	P35222
AFP	XIAP	P02771	P98170
AFP	CCR5	P02771	P51681
AFP	GNB1	P02771	P62873
AFP	PSMB7	P02771	Q99436
AFP	MED27	P02771	Q6P2C8
AFP	AP4S1	P02771	Q9Y587
AFP	PHB2	P02771	Q99623
AFP	EHD4	P02771	Q9H223
AFP	PIDD1	P02771	Q9HB75
AGRP	TK1	O00253	P04183
AGTR1	JAK2	P30556	O60674
AGTR1	MAPK1	P30556	P28482
AHR	CTNNB1	P35869	P35222
AKT1	BCL2L1	P31749	Q07817
AKT1	CTNNB1	P31749	P35222
AKT1	ENO2	P31749	P09104
ALAS2	SUCLA2	P22557	Q9P2R7
ALAS2	BANP	P22557	Q8N9N5
ALB	APOA4	P02768	P06727
ALB	APOC2	P02768	P02655
ALB	TSC22D1	P02768	Q15714
ALB	BBC3	P02768	Q9BXH1
ALDOC	SQLE	P09972	Q14534
ALK	JAK2	Q9UM73	O60674
ALK	MAPK1	Q9UM73	P28482
ALK	STAT3	Q9UM73	P40763
ALK	SOCS1	Q9UM73	O15524
AMBP	STAT3	P02760	P40763
AMFR	CYP2E1	Q9UKV5	P05181
AMPD2	CCNDBP1	Q01433	O95273
ANG	TP53	P03950	P04637
ANXA1	TP53	P04083	P04637
ANXA3	TP53	P12429	P04637
ANXA5	GSTP1	P08758	P09211
ANXA7	TP53	P20073	P04637
APBB2	ATP7A	Q92870	Q04656
APBB2	TP53	Q92870	P04637
APC	CTNNB1	P25054	P35222
APC	TGFB1	P25054	P01137
APEX1	PML	P27695	P29590
APEX1	MAPK3	P27695	P27361
APEX1	STAT3	P27695	P40763
APEX1	H19	P27695	-
APEX1	MIR221	P27695	-
BIRC2	IKBKG	Q13490	Q9Y6K9
BIRC3	GLUL	Q13489	P15104
BIRC3	GSTP1	Q13489	P09211
BIRC3	MFGE8	Q13489	Q08431
BIRC3	PRDX1	Q13489	Q06830
BIRC3	TP53	Q13489	P04637
BIRC3	IKBKG	Q13489	Q9Y6K9
XIAP	BCL2	P98170	P10415
APOA1	CP	P02647	P00450
APOA1	SPP1	P02647	P10451
APOA4	MAGEA6	P06727	P43360
APOA4	AGTRAP	P06727	Q6RW13
APOA4	CMTM5	P06727	Q96DZ9
APOA4	CMTM4	P06727	Q8IZR5
APOC2	CRYAB	P02655	P02511
APOE	CTNNB1	P02649	P35222
APP	APOA4	P05067	P06727
APP	MYC	P05067	P01106
FAS	FAS	P25445	P25445
FAS	FASLG	P25445	P48023
FAS	ARF5	P25445	P84085
FAS	RHOA	P25445	P61586
FAS	ARHGDIA	P25445	P52565
FAS	BID	P25445	P55957
FAS	CASP8	P25445	Q14790
FAS	CASP10	P25445	Q92851
FAS	CRMP1	P25445	Q14194
FAS	CTNNB1	P25445	P35222
FAS	DAXX	P25445	Q9UER7
