InteractorA	InteractorB
1	2232
1	10549
1	23198
1	23352
1	51035
1	56888
1	63891
1	80854
1	284403
2	2
2	60
2	348
2	351
2	476
2	2026
2	2193
2	2639
2	3337
2	5806
2	5858
2	5886
2	6009
2	7001
2	7052
2	7301
2	7372
2	9361
2	10376
2	10724
2	11140
2	22976
2	24138
2	51295
2	54850
2	56983
2	79695
2	84106
2	126003
14	427
14	1725
14	3297
14	4289
14	6134
14	6293
14	6726
14	8553
14	10076
14	10226
14	51763
14	59272
14	65125
16	1615
16	2617
16	2923
16	3376
16	4436
16	4677
16	5859
16	6726
16	6772
16	7163
16	7165
16	7317
16	7453
16	9775
16	10056
16	27101
16	51068
16	51119
16	51520
16	60491
16	91039
19	998
19	7052
19	8517
19	8772
19	9146
19	10211
19	10558
19	10594
19	10987
19	23673
20	55755
23	351
23	1660
23	1781
23	3181
23	3192
23	3608
23	4361
23	4670
23	4836
23	5705
23	5706
23	5713
23	5719
23	5725
23	6157
23	6850
23	7187
23	7189
23	10643
23	10949
23	23322
23	79718
25	25
25	27
25	160
25	163
25	598
25	672
25	847
25	868
25	894
25	1026
25	1027
25	1173
25	1385
25	1398
25	1655
25	1856
25	1937
25	1956
25	2010
25	2042
25	2060
25	2064
25	2065
25	2066
25	2130
25	2353
25	2521
25	2876
25	2885
25	2887
25	2889
25	3055
25	3308
25	3320
25	3329
25	3336
25	3609
25	3636
25	3716
25	4137
25	4155
25	4193
25	4194
25	4670
25	4677
25	4733
25	4792
25	5052
25	5111
25	5144
25	5295
25	5296
25	5335
25	5495
25	5590
25	5591
25	5685
25	5688
25	5777
25	5888
25	5925
25	6167
25	6176
25	6622
25	6708
25	6709
25	6714
25	6789
25	7112
25	7157
25	7161
25	7275
25	7874
25	8202
25	9043
25	9046
25	10075
25	10298
25	10728
25	10923
25	10970
25	11073
25	23429
25	25906
25	26524
25	50937
25	51520
25	55379
25	55824
25	56897
25	56961
25	57664
25	80725
25	83939
25	84959
25	85439
27	27
27	2066
27	2885
27	3055
27	4193
27	5688
27	8503
27	9322
27	9610
27	11339
27	84460
29	351
30	38
30	847
30	1072
30	1964
30	4191
30	5052
30	7024
30	7419
30	10449
30	10797
30	25824
30	25921
30	51061
30	51755
30	126003
30	441150
31	31
31	391
31	498
31	596
31	687
31	908
31	998
31	1021
31	1114
31	1175
31	1655
31	1656
31	2194
31	3181
31	3301
31	3688
31	3839
31	4141
31	4798
31	5052
31	5116
31	5198
31	5269
31	5413
31	5695
31	5708
31	5786
31	5888
31	6046
31	6141
31	6426
31	6472
31	6560
31	6646
31	6790
31	7317
31	7417
31	7465
31	7514
31	8021
31	8178
31	8498
31	8833
31	8841
31	9131
31	9197
31	9448
31	9512
31	9584
31	9733
31	9785
31	10391
31	10424
31	10425
31	10480
31	10584
31	10724
31	11143
31	11198
31	11224
31	22872
31	22931
31	23029
31	23137
31	23155
31	23165
31	23193
31	23376
31	23759
31	25831
31	27037
31	28231
31	28992
31	51119
31	51124
31	51132
31	51283
31	51490
31	51495
31	51535
31	51575
31	51602
31	53615
31	54799
31	56888
31	57683
31	63967
31	64682
31	64965
31	79734
31	79794
31	80270
31	80346
31	84173
31	124245
31	140688
31	261726
31	284252
36	2531
36	10121
36	54915
37	37
37	324
37	998
37	3921
37	9014
37	10901
38	38
38	1396
38	1434
38	1642
38	1738
38	2068
38	3336
38	3418
38	4191
38	5052
38	5160
38	7879
38	8266
38	8458
38	10063
38	10449
38	10469
38	10994
38	11073
38	25824
38	54543
38	54704
38	56931
38	81855
38	94081
39	38
39	39
39	191
39	3033
39	3336
39	5093
39	5094
39	7332
39	7408
39	51035
39	51741
39	84708
41	3163
41	8795
41	9451
41	55325
47	271
47	351
47	1431
47	1973
47	3187
47	3190
47	3312
47	4171
47	4175
47	4176
47	4691
47	6120
47	6188
47	9919
47	10381
47	10916
47	10963
47	64410
47	203068
50	38
50	71
50	158
50	226
50	230
50	351
50	498
50	515
50	790
50	832
50	1072
50	1434
50	1499
50	1615
50	1665
50	2010
50	2058
50	2547
50	2664
50	2782
50	2821
50	3187
50	3309
50	3312
50	3313
50	3329
50	3692
50	3842
50	4000
50	4637
50	4942
50	5052
50	5093
50	5250
50	5500
50	6125
50	6135
50	6136
50	6147
50	6156
50	6160
50	6187
50	6188
50	6191
50	6193
50	6203
50	6205
50	6206
50	6207
50	6208
50	6210
50	6222
50	6224
50	6229
50	6231
50	6233
50	6613
50	6711
50	6950
50	7001
50	7112
50	7919
50	8350
50	8607
50	8668
50	9184
50	9218
50	9349
50	9368
50	9380
50	9532
50	9775
50	10075
50	10381
50	10399
50	10419
50	10449
50	10808
50	10856
50	10989
50	23171
50	25824
50	25932
50	25942
50	26073
50	26986
50	27101
50	27247
50	29789
50	29937
50	51031
50	51329
50	54704
50	54927
50	54936
50	84681
50	203068
51	847
51	1340
51	9380
51	10587
51	11252
51	23022
51	51166
51	51347
51	54732
51	94081
51	131474
52	52
52	60
52	158
52	3276
52	3643
52	4144
52	5093
52	6136
52	10130
52	10549
52	10606
52	23317
52	51567
52	53938
52	54874
52	90480
52	345651
53	2194
53	5339
59	16
59	70
59	1265
59	2950
59	4627
59	4628
59	4641
59	4736
59	6130
59	6139
59	6141
59	6191
59	6210
59	6217
59	6228
59	6231
59	6624
59	6709
59	7168
59	7791
59	9045
59	10575
59	22948
59	51081
59	51116
60	60
60	71
60	790
60	857
60	975
60	1072
60	1460
60	1915
60	2033
60	3161
60	3192
60	4137
60	4580
60	4736
60	4967
60	5250
60	5861
60	5879
60	7329
60	7336
60	7419
60	8500
60	8508
60	8766
60	9026
60	9446
60	10096
60	10097
60	10131
60	10298
60	10576
60	10657
60	11034
60	11140
60	11331
60	22948
60	23603
60	23788
60	29109
60	30968
60	51025
60	51097
60	51706
60	55093
60	55611
60	56993
60	84172
60	94081
60	112812
60	132299
60	134492
60	143888
60	154796
60	653361
70	60
70	81
70	86
70	118
70	120
70	498
70	506
70	667
70	800
70	801
70	811
70	821
70	829
70	830
70	832
70	902
70	904
70	908
70	988
70	989
70	1022
70	1063
70	1072
70	1152
70	1213
70	1265
70	1266
70	1477
70	1613
70	1615
70	1627
70	1639
70	1653
70	1662
70	1665
70	1729
70	1743
70	1778
70	1820
70	1891
70	1937
70	1938
70	1965
70	1973
70	1984
70	2017
70	2058
70	2059
70	2194
70	2237
70	2314
70	2316
70	2317
70	2521
70	2773
70	2804
70	2934
70	2956
70	2960
70	2961
70	2962
70	2969
70	3008
70	3030
70	3094
70	3146
70	3151
70	3184
70	3185
70	3301
70	3303
70	3329
70	3550
70	3621
70	3837
70	3838
70	3840
70	3921
70	3936
70	4008
70	4191
70	4236
70	4288
70	4331
70	4430
70	4436
70	4522
70	4627
70	4628
70	4637
70	4641
70	4642
70	4646
70	4670
70	4673
70	4736
70	4839
70	4869
70	4904
70	4926
70	4999
70	5036
70	5037
70	5111
70	5189
70	5204
70	5216
70	5230
70	5245
70	5339
70	5358
70	5422
70	5464
70	5469
70	5501
70	5558
70	5702
70	5704
70	5705
70	5713
70	5756
70	5757
70	5859
70	5930
70	5931
70	6122
70	6134
70	6136
70	6139
70	6143
70	6144
70	6147
70	6154
70	6161
70	6165
70	6175
70	6176
70	6187
70	6189
70	6193
70	6201
70	6203
70	6204
70	6206
70	6222
