	nodes_degree	nodes_betweenness_centrality	eigen_vector_centrality	closeness_centrality	betweennes_degree_ratio
MYC	1956.0	0.35204521234626873	0.4743706011099256	0.4927457098283931	0.00017998221490095537
KRAS	1593.0	0.27661639867132143	0.30863245011293555	0.44779187637343165	0.00017364494580748364
TP53	1328.0	0.227436956077875	0.2893260849015292	0.47592857681006556	0.00017126276813092997
CTNNB1	708.0	0.08583979010183426	0.18390572180167078	0.45121428571428573	0.00012124264138677156
CDH1	657.0	0.08236315284877103	0.1306841335244082	0.41338917610104053	0.00012536248531015378
HRAS	633.0	0.07918181303092613	0.11842523229944883	0.4287653566822779	0.00012508975202357999
IKBKG	393.0	0.06577334568127785	0.06383950009311308	0.4120947224215539	0.00016736220275134314
MAPK1	330.0	0.04663171148244293	0.07341023062686616	0.447347921535302	0.00014130821661346342
STAT3	294.0	0.0399930372538741	0.05674091879533675	0.39772083359566834	0.00013603073895875544
PML	276.0	0.035906810372231916	0.07553996547629226	0.4489056281978397	0.0001300971390298258
TK1	204.0	0.03517681066614044	0.035405332450408236	0.39880050505050507	0.0001724353464026492
TNF	301.0	0.03041969239748416	0.05335080225206806	0.35492751994606137	0.00010106210098831946
RB1	259.0	0.027514582705756463	0.06408362982839147	0.41099544567338975	0.00010623391006083577
MAPK3	243.0	0.027479411781124435	0.05553745438121734	0.4181228488218163	0.00011308399909927751
CCNDBP1	131.0	0.027099221392352678	0.007821771620083351	0.33522606665251536	0.0002068642854378067
PRDX1	217.0	0.023030004460136266	0.04798136199476736	0.39141210731767767	0.00010612905281168786
TGFB1	258.0	0.02283212383715833	0.055425769545878904	0.3541911970843846	8.849660401999353e-05
CCND1	224.0	0.01942923663364787	0.058192274999921675	0.3814152880086946	8.673766354307085e-05
GSTP1	147.0	0.019090269533577366	0.02935815179628947	0.38287168919328446	0.00012986577913998208
BCL2L1	181.0	0.018798007153442077	0.04599194820174021	0.4063424675157597	0.00010385639311293965
